CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Suicide,2010,Santee,6,11.72997595
Suicide,2011,Santee,10,19.34497901
Suicide,2012,Santee,7,13.47449471
Suicide,2013,Santee,7,13.37946062
Suicide,2010,South Bay,12,8.89455505
Suicide,2011,South Bay,14,10.36070038
Suicide,2012,South Bay,11,8.112573013
Suicide,2013,South Bay,15,10.97076656
Suicide,2010,Southeastern San Diego,,
Suicide,2011,Southeastern San Diego,19,12.14787157
Suicide,2012,Southeastern San Diego,10,6.368088236
Suicide,2013,Southeastern San Diego,16,10.16621766
Suicide,2010,Spring Valley,,
Suicide,2011,Spring Valley,8,9.7873694
Suicide,2012,Spring Valley,7,8.514261388
Suicide,2013,Spring Valley,6,7.275108217
Suicide,2010,Sweetwater,5,3.694945315
Suicide,2011,Sweetwater,12,8.785030308
Suicide,2012,Sweetwater,6,4.310035199
Suicide,2013,Sweetwater,6,4.227078666
Suicide,2010,University,5,7.971049149
Suicide,2011,University,,
Suicide,2012,University,5,7.343437904
Suicide,2013,University,8,11.52887262
Suicide,2010,Valley Center,,
Suicide,2011,Valley Center,,
Suicide,2012,Valley Center,,
Suicide,2013,Valley Center,6,25.35389816
Suicide,2010,Vista,12,11.94826402
Suicide,2011,Vista,14,13.81638031
Suicide,2012,Vista,21,20.57210031
Suicide,2013,Vista,19,18.4909443
