CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Self Inflicted Injuries,2012,North San Diego,73,65.80904559
Self Inflicted Injuries,2013,North San Diego,65,58.23850909
Self Inflicted Injuries,2010,Oceanside,119,74.50538442
Self Inflicted Injuries,2011,Oceanside,115,71.83234954
Self Inflicted Injuries,2012,Oceanside,139,86.21598655
Self Inflicted Injuries,2013,Oceanside,123,76.14684579
Self Inflicted Injuries,2010,Palomar-Julian,,
Self Inflicted Injuries,2011,Palomar-Julian,,
Self Inflicted Injuries,2012,Palomar-Julian,,
Self Inflicted Injuries,2013,Palomar-Julian,,
Self Inflicted Injuries,2010,Pauma,,
Self Inflicted Injuries,2011,Pauma,8,102.9203654
Self Inflicted Injuries,2012,Pauma,,
Self Inflicted Injuries,2013,Pauma,,
Self Inflicted Injuries,2010,Pendleton,,
Self Inflicted Injuries,2011,Pendleton,,
Self Inflicted Injuries,2012,Pendleton,,
Self Inflicted Injuries,2013,Pendleton,,
Self Inflicted Injuries,2010,Peninsula,24,38.13397737
Self Inflicted Injuries,2011,Peninsula,38,60.26006977
Self Inflicted Injuries,2012,Peninsula,35,55.33421868
Self Inflicted Injuries,2013,Peninsula,25,39.80004458
Self Inflicted Injuries,2010,Poway,31,35.91662708
Self Inflicted Injuries,2011,Poway,35,40.27571604
Self Inflicted Injuries,2012,Poway,43,49.2075299
Self Inflicted Injuries,2013,Poway,34,38.75438836
Self Inflicted Injuries,2010,Ramona,15,43.01691999
Self Inflicted Injuries,2011,Ramona,19,53.62232947
Self Inflicted Injuries,2012,Ramona,28,78.57443525
Self Inflicted Injuries,2013,Ramona,22,61.39934693
Self Inflicted Injuries,2010,San Dieguito,40,42.76794115
Self Inflicted Injuries,2011,San Dieguito,51,53.74304502
Self Inflicted Injuries,2012,San Dieguito,45,47.12041885
Self Inflicted Injuries,2013,San Dieguito,43,44.69250517
Self Inflicted Injuries,2010,San Marcos,34,37.79247485
Self Inflicted Injuries,2011,San Marcos,34,37.6990287
Self Inflicted Injuries,2012,San Marcos,45,49.19914721
Self Inflicted Injuries,2013,San Marcos,32,34.81932037
Self Inflicted Injuries,2010,Santee,40,78.19983969
Self Inflicted Injuries,2011,Santee,32,61.90393283
Self Inflicted Injuries,2012,Santee,42,80.84696824
Self Inflicted Injuries,2013,Santee,39,74.54270915
Self Inflicted Injuries,2010,South Bay,95,70.41522748
Self Inflicted Injuries,2011,South Bay,92,68.08460252
Self Inflicted Injuries,2012,South Bay,104,76.70069031
Self Inflicted Injuries,2013,South Bay,78,57.04798613
Self Inflicted Injuries,2010,Southeastern San Diego,96,61.61548089
Self Inflicted Injuries,2011,Southeastern San Diego,141,90.14999425
Self Inflicted Injuries,2012,Southeastern San Diego,114,72.59620589
Self Inflicted Injuries,2013,Southeastern San Diego,106,67.35119199
Self Inflicted Injuries,2010,Spring Valley,46,56.78942235
Self Inflicted Injuries,2011,Spring Valley,52,63.6179011
Self Inflicted Injuries,2012,Spring Valley,42,51.08556833
