CONDITION_,YEAR_,Geography,Total_Cases,Total_Rate
Mood Disorders,2012,Pauma,9,115.4142088
Mood Disorders,2013,Pauma,11,139.9491094
Mood Disorders,2010,Pendleton,6,16.02050625
Mood Disorders,2011,Pendleton,6,15.93583172
Mood Disorders,2012,Pendleton,,
Mood Disorders,2013,Pendleton,,
Mood Disorders,2010,Peninsula,168,266.9378416
Mood Disorders,2011,Peninsula,165,261.6555661
Mood Disorders,2012,Peninsula,167,264.023272
Mood Disorders,2013,Peninsula,130,206.9602318
Mood Disorders,2010,Poway,221,256.0507931
Mood Disorders,2011,Poway,217,249.7094395
Mood Disorders,2012,Poway,244,279.2241231
Mood Disorders,2013,Poway,245,279.2595632
Mood Disorders,2010,Ramona,128,367.0777172
Mood Disorders,2011,Ramona,110,310.4450653
Mood Disorders,2012,Ramona,127,356.3911884
Mood Disorders,2013,Ramona,144,401.8866345
Mood Disorders,2010,San Dieguito,252,269.4380293
Mood Disorders,2011,San Dieguito,240,252.9084471
Mood Disorders,2012,San Dieguito,211,220.9424084
Mood Disorders,2013,San Dieguito,241,250.4859011
Mood Disorders,2010,San Marcos,224,248.9857167
Mood Disorders,2011,San Marcos,190,210.6710427
Mood Disorders,2012,San Marcos,223,243.8091073
Mood Disorders,2013,San Marcos,249,270.9378366
Mood Disorders,2010,Santee,236,461.3790542
Mood Disorders,2011,Santee,196,379.1615886
Mood Disorders,2012,Santee,246,473.5322425
Mood Disorders,2013,Santee,219,418.5859821
Mood Disorders,2010,South Bay,297,220.1402375
Mood Disorders,2011,South Bay,328,242.736409
Mood Disorders,2012,South Bay,393,289.8401086
Mood Disorders,2013,South Bay,363,265.4925508
Mood Disorders,2010,Southeastern San Diego,465,298.4499856
Mood Disorders,2011,Southeastern San Diego,470,300.4999808
Mood Disorders,2012,Southeastern San Diego,565,359.7969853
Mood Disorders,2013,Southeastern San Diego,496,315.1527474
Mood Disorders,2010,Spring Valley,268,330.8601128
Mood Disorders,2011,Spring Valley,247,302.1850302
Mood Disorders,2012,Spring Valley,230,279.7543027
Mood Disorders,2013,Spring Valley,229,277.6666303
Mood Disorders,2010,Sweetwater,195,144.1028673
Mood Disorders,2011,Sweetwater,203,148.6134294
Mood Disorders,2012,Sweetwater,191,137.2027872
Mood Disorders,2013,Sweetwater,226,159.2199631
Mood Disorders,2010,University,94,149.855724
Mood Disorders,2011,University,113,169.9708192
Mood Disorders,2012,University,124,182.11726
Mood Disorders,2013,University,138,198.8730527
Mood Disorders,2010,Valley Center,60,257.1795971
Mood Disorders,2011,Valley Center,38,161.9847393
Mood Disorders,2012,Valley Center,42,178.321233
Mood Disorders,2013,Valley Center,54,228.1850835
Mood Disorders,2010,Vista,303,301.6936664
Mood Disorders,2011,Vista,332,327.6455901
Mood Disorders,2012,Vista,322,315.4388715
Mood Disorders,2013,Vista,358,348.408319
